station_id,date,precip_mm,air_temp_c,ndvi,sand_frac,clay_frac,elevation_m,sm_target
ST000,2016-01-01,0.0,-4.93,0.216,0.228,0.251,1321.6,0.2677
ST000,2016-01-08,0.0,-6.06,0.092,0.228,0.251,1321.6,0.1346
ST000,2016-01-15,0.0,-8.06,0.12,0.228,0.251,1321.6,0.1201
ST000,2016-01-22,0.0,-11.72,0.128,0.228,0.251,1321.6,0.0729
ST000,2016-01-29,0.0,-7.3,0.12,0.228,0.251,1321.6,0.0894
ST000,2016-02-05,0.0,-6.31,0.13,0.228,0.251,1321.6,0.0648
ST000,2016-02-12,0.0,-3.01,0.137,0.228,0.251,1321.6,0.1195
ST000,2016-02-19,2.15,-6.24,0.135,0.228,0.251,1321.6,0.1217
ST000,2016-02-26,0.0,-4.18,0.115,0.228,0.251,1321.6,0.0811
ST000,2016-03-04,0.0,-5.33,0.104,0.228,0.251,1321.6,0.0913
ST000,2016-03-11,0.0,-2.36,0.154,0.228,0.251,1321.6,0.0566
ST000,2016-03-18,0.0,-2.53,0.151,0.228,0.251,1321.6,0.1328
ST000,2016-03-25,0.0,-2.88,0.213,0.228,0.251,1321.6,0.1327
ST000,2016-04-01,0.0,2.17,0.198,0.228,0.251,1321.6,0.0632
ST000,2016-04-08,0.0,0.96,0.244,0.228,0.251,1321.6,0.1839
ST000,2016-04-15,0.0,3.39,0.205,0.228,0.251,1321.6,0.0924
ST000,2016-04-22,0.0,8.23,0.269,0.228,0.251,1321.6,0.2781
ST000,2016-04-29,0.0,8.15,0.312,0.228,0.251,1321.6,0.2315
ST000,2016-05-06,0.0,8.23,0.312,0.228,0.251,1321.6,0.1112
ST000,2016-05-13,0.0,13.6,0.341,0.228,0.251,1321.6,0.1738
ST000,2016-05-20,0.0,9.2,0.472,0.228,0.251,1321.6,0.124
ST000,2016-05-27,4.29,12.6,0.462,0.228,0.251,1321.6,0.1144
ST000,2016-06-03,0.0,14.53,0.479,0.228,0.251,1321.6,0.0693
ST000,2016-06-10,1.32,15.41,0.453,0.228,0.251,1321.6,0.382
ST000,2016-06-17,0.0,16.63,0.5,0.228,0.251,1321.6,0.3088
ST000,2016-06-24,31.25,12.26,0.552,0.228,0.251,1321.6,0.3523
ST000,2016-07-01,23.93,14.52,0.552,0.228,0.251,1321.6,0.3477
ST000,2016-07-08,0.0,12.1,0.536,0.228,0.251,1321.6,0.2472
ST000,2016-07-15,0.0,17.88,0.575,0.228,0.251,1321.6,0.1043
ST000,2016-07-22,13.04,17.61,0.582,0.228,0.251,1321.6,0.1312
ST000,2016-07-29,0.0,16.52,0.618,0.228,0.251,1321.6,0.1903
ST000,2016-08-05,0.0,12.06,0.527,0.228,0.251,1321.6,0.0587
ST000,2016-08-12,0.0,12.14,0.559,0.228,0.251,1321.6,0.1011
ST000,2016-08-19,0.0,12.57,0.618,0.228,0.251,1321.6,0.0492
ST000,2016-08-26,0.0,11.01,0.563,0.228,0.251,1321.6,0.0731
ST000,2016-09-02,0.0,11.68,0.481,0.228,0.251,1321.6,0.0388
ST000,2016-09-09,3.13,13.57,0.536,0.228,0.251,1321.6,0.0676
ST000,2016-09-16,0.0,14.25,0.527,0.228,0.251,1321.6,0.1159
ST000,2016-09-23,0.0,7.51,0.54,0.228,0.251,1321.6,0.0484
ST000,2016-09-30,0.0,6.52,0.464,0.228,0.251,1321.6,0.083
ST000,2016-10-07,0.0,5.14,0.478,0.228,0.251,1321.6,0.05
ST000,2016-10-14,0.0,6.25,0.494,0.228,0.251,1321.6,0.1042
ST000,2016-10-21,0.0,3.95,0.435,0.228,0.251,1321.6,0.0475
ST000,2016-10-28,0.0,2.1,0.412,0.228,0.251,1321.6,0.0464
ST000,2016-11-04,0.0,1.78,0.354,0.228,0.251,1321.6,0.1438
ST000,2016-11-11,0.0,-0.65,0.339,0.228,0.251,1321.6,0.1168
